IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.155.183,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,15,31.15
8.217.85.14,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,13,24.87
8.210.207.214,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,27,23.47
47.76.159.146,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,20,22.69
8.210.9.129,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,10,21.45
47.243.60.150,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,17,20.76
47.238.0.114,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,21,20.45
47.238.5.0,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,0,19.93
8.210.156.6,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,26,18.09
47.242.54.157,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,15,18.03
47.243.60.150,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,10,18
47.76.225.255,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,9,17.91
47.76.33.40,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,35,17.81
8.210.146.108,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,34,17.65
47.238.0.114,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,16,17.35
8.210.101.157,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,8,16.8
8.210.34.188,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,19,16.64
47.76.26.26,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,13,16.49
47.76.26.26,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,34,16.19
47.243.60.150,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,11,15.53
47.243.26.83,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,14,14.55
8.210.175.109,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,23,14.54
8.210.156.6,80,80,FALSE,HKG,Asia Pacific,Hong Kong,20,14.47
8.217.207.60,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,69,14.44
47.242.54.157,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,16,14.36
8.218.22.210,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,40,14.31
8.218.122.55,80,80,FALSE,HKG,Asia Pacific,Hong Kong,10,14.3
47.243.51.171,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,5,14.16
8.217.207.60,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,26,13.94
8.210.3.24,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,8,13.87
8.218.53.110,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,20,13.84
47.243.51.171,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,16,13.66
47.242.79.71,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,10,13.28
8.218.228.152,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,28,13.26
47.242.234.127,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,10,13.07
8.210.101.157,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,8,12.86
47.76.227.40,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,35,12.84
8.210.9.129,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,28,12.6
8.217.85.14,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,5,12.52
8.218.228.152,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,13,12.04
8.218.188.129,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,39,12.03
8.210.174.156,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,14,11.86
